ردیف,تصویر,تاریخ,دسته‌بندی‌ها,متن پرامپت,نام فایل تصویر,عنوان تصویر
194,,10.07.2026 12:50:15,سایر,"Нельзя менять лицо.
Снято на профессиональную камеру, крупным планом лицо, чёрно-белое фото, волосы длинные ,уложены объемные падают прядями на лицо, она смотрит с игривым взглядом в камеру. Пониженная экспозиция. голова наклонена к плечу, назад, смотрит через плечо. Фон — светлая стена. Лучи солнца частично падают на глаза. Волосы черные. Гиперреализм
Формат 9:16",0194.jpg,یک تصویر هنری (سبک سیاه‌وسفید)
195,,10.07.2026 12:54:01,مد و فشن (ادیتوریال)، محصول / لایف‌استایل، پرتره / سلفی,"Ultra-realistic cinematic fashion portrait of a stylish
woman wearing oversized black cat-eye
sunglasses, soft warm golden sunlight, hazy
foreground blur creating dreamy depth, shallow
depth of field, glowing skin, natural makeup, glossy
nude lips, loose messy updo hairstyle with soft
strands falling, black high-neck outfit, luxury
editorial vibe,shot through translucent fabric for soft
diffusion, 85mm lens, f/1.8, creamy bokeh
golden hour lighting, warm beige color grading,
high detail, photorealistic, Vogue style
photography, soft focus edges, elegant and
minimal background use my upload image face
without any changes",0195.jpg,یک گربه، در ساعت طلایی غروب (سبک سینمایی و ادیتوریال)
196,,10.07.2026 12:54:01,مد و فشن (ادیتوریال)، محصول / لایف‌استایل، پرتره / سلفی,"Ultra-realistic cinematic fashion portrait of a stylish
woman wearing oversized black cat-eye
sunglasses, soft warm golden sunlight, hazy
foreground blur creating dreamy depth, shallow
depth of field, glowing skin, natural makeup, glossy
nude lips, loose messy updo hairstyle with soft
strands falling, black high-neck outfit, luxury
editorial vibe,shot through translucent fabric for soft
diffusion, 85mm lens, f/1.8, creamy bokeh
golden hour lighting, warm beige color grading,
high detail, photorealistic, Vogue style
photography, soft focus edges, elegant and
minimal background use my upload image face
without any changes",0196.jpg,یک گربه، در ساعت طلایی غروب (سبک سینمایی و ادیتوریال)
197,,10.07.2026 12:58:01,پرتره / سلفی,"Создай фото не меняя черты лица. Кинематографический эффект с добавлением зерна.
Девушка с блестящими волосами уложенными в многослойный каскад концы подкручены во внутрь.
Макияж - сияющая кожа контуринг ресницы прокрашены тушью и подкручены во внутрь. Легкий эффект хайлайтера на кончике носа. На губах розово-коричневая помада с более темным контуром.
Очень близкий cinematic кадр. Камера почти вплотную к лицу 85mm малая глубина резкости. Девушка резко поворачивается к объективу после движения волосы хаотично летят по лицу и частично закрывают один глаз. В руках — смятый букет белых цветов прижатый к плечу и подбородку. Пальцы напряжены будто она только что схватила цветы сильнее. Взгляд тяжелый живой не позирующий. Фокус только на глазах и линии губ остальное растворяется в мягком зерне. Кадрирование сломанное: часть головы и плеча обрезаны. Свет влажный морской как пленочный стоп-кадр из артхаусного фильма. Атмосфера странная интимная и",0197.jpg,زنی (سبک سینمایی)
198,,10.07.2026 13:01:01,مد و فشن (ادیتوریال)، پرتره / سلفی,"Close-up portrait of a woman showing only her head and shoulders, in profile, head tilted slightly back, eyes closed, sleek pulled-back hair in a low bun, voluminous gold hoop earrings, bare shoulders, highly detailed, photorealistic image, harsh bright daylight with dramatic shadows from blinds on face and neck, strong contrast lighting, side lighting, focus on matte skin and neutral glossy nude lips, professional high fashion editorial photo, 8K resolution, shallow depth of field, against a smooth beige wall.",0198.jpg,زنی (سبک ادیتوریال)
199,,10.07.2026 13:04:01,پرتره / سلفی,"Edit the uploaded image for an Instagram Stories-style post by adding chalk-like handwritten text and simple doodles.
Keep the original image completely unchanged (subject, face, pose, outfit, lighting, background, composition). Only add decorative overlays.
Add 2–5 short, context-aware captions based on what is visible in the photo (mood, expression, outfit, setting). Make the text personal, cute, funny, and natural—not generic.
Style: minimal Gen Z chalk aesthetic with soft white/pastel tones (white, cream, pink, baby blue, light yellow) and a slightly grainy chalk texture. Add small hearts, stars, sparkles, arrows, circles, underlines, and wavy lines.
Placement: put text and doodles in empty spaces around the subject. Do not cover the face or important details. Keep it balanced and readable, not crowded.
Format: vertical 4:5 Instagram composition within safe margins.
Important: no new objects or redesigns—only subtle chalk-style annotations that feel naturally integrated.",0199.jpg,یک تصویر هنری، در یک ژست خاص (سبک مینیمال)
200,,10.07.2026 13:10:14,دریا / ساحل، پرتره / سلفی,"Radiant makeup with a light tan and contouring. The eyelashes are coated with mascara and curled inward, creating a fox-eye effect. A subtle highlighter effect is applied to the tip of the nose. Brownish-pink lipstick with a darker lip liner. Straight eyebrows are sharply defined, without arches. Diamond earrings on the earlobes and a carnation flower-shaped helix piercing.
An extremely close cinematic frame. The camera is positioned very close to the face, shot with an 85mm lens and shallow depth of field. The woman turns abruptly toward the lens after moving, and her hair flies chaotically across her face, partially covering one eye. Her hands are covered by a fluffy, soft white angora sweater, pressed against her shoulder and chin. The expression is intense and lively, not posed. Focus only on the eyes and the lip line, while the rest dissolves into soft grain. The framing is intentionally broken, with part of the head and shoulder cropped out. The lighting is wet and oceanic, like a frozen frame from an art film. The atmosphere is strange, intimate, and cinematic. Aspect ratio 9:16. Use my uploaded image face without any changes.",0200.jpg,زنی، با سوییشرت سفید (سبک سینمایی)
201,,10.07.2026 13:10:14,دریا / ساحل، پرتره / سلفی,"Radiant makeup with a light tan and contouring. The eyelashes are coated with mascara and curled inward, creating a fox-eye effect. A subtle highlighter effect is applied to the tip of the nose. Brownish-pink lipstick with a darker lip liner. Straight eyebrows are sharply defined, without arches. Diamond earrings on the earlobes and a carnation flower-shaped helix piercing.
An extremely close cinematic frame. The camera is positioned very close to the face, shot with an 85mm lens and shallow depth of field. The woman turns abruptly toward the lens after moving, and her hair flies chaotically across her face, partially covering one eye. Her hands are covered by a fluffy, soft white angora sweater, pressed against her shoulder and chin. The expression is intense and lively, not posed. Focus only on the eyes and the lip line, while the rest dissolves into soft grain. The framing is intentionally broken, with part of the head and shoulder cropped out. The lighting is wet and oceanic, like a frozen frame from an art film. The atmosphere is strange, intimate, and cinematic. Aspect ratio 9:16. Use my uploaded image face without any changes.",0201.jpg,زنی، با سوییشرت سفید (سبک سینمایی)
202,,10.07.2026 13:18:01,پرتره / سلفی,"Не меняй черты лица вертикальный коллаж-триптих из трех горизонтальных кинематографических фрагментов:
Верхняя панель: только глаза и белый котенок смотрит в камеру которого она прижала к лицу смотрит на негокрупным планом. Часть волос видно Лицо не видно полностью. теплый свет выделяет радужную оболочку и кожу вокруг. Фон не видно
Средняя панель: Загадочный снимок крупным планом, на котором большая часть лица видна на фоне белой шторы, оставляя видимым только часть лица, ногти квадрат френч, она смотрит в камеру
Нижняя часть снимка: Нижняя часть лица крупным планом, боком к камере, с акцентом на ее лицо она целует котенка, рука держит котенка белого. Освещение - высококонтрастная, сдержанная светотень с теплым золотистым сиянием. Атмосфера - интимная на фоне белой шторы и белой шторы, благодаря крупнозернистой пленке и винтажной эстетике.
Волосы везде одинаковые длинные блестящие объемные
Триптих без рамок",0202.jpg,یک تصویر هنری
203,,10.07.2026 13:24:01,دریا / ساحل، پرتره / سلفی,"Create a photo without changing the facial features. Hyper-realistic cinematic effect with added film grain, an 8K portrait of a beautiful woman with slightly windblown hair falling across her face, styled in small beach waves. The woman has expressive facial features and makeup emphasizing the eyes: black winged eyeliner creating a “fox-eye” effect, long wispy lashes, neatly groomed brows set with gel, and nude pink-brown lipstick with a sharply defined contour. Realistic skin without a plastic effect, without excessive retouching, without an illustrative or cartoon style, preserving natural skin texture. Her expressive eyes are looking upward and to the right, catching a sharp diagonal beam of natural light that illuminates the prominent areas of her cheekbones, nose, fair skin, and glossy lips. The rest of her face and the background are immersed in deep, dramatic shadow (chiaroscuro), emphasizing the interplay of light and shadow. Subtle textures of dark clothing are visible on her left shoulder.",0203.jpg,زنی، در ساحل دریا (سبک سینمایی و کارتونی)
204,,10.07.2026 13:24:01,دریا / ساحل، پرتره / سلفی,"Create a photo without changing the facial features. Hyper-realistic cinematic effect with added film grain, an 8K portrait of a beautiful woman with slightly windblown hair falling across her face, styled in small beach waves. The woman has expressive facial features and makeup emphasizing the eyes: black winged eyeliner creating a “fox-eye” effect, long wispy lashes, neatly groomed brows set with gel, and nude pink-brown lipstick with a sharply defined contour. Realistic skin without a plastic effect, without excessive retouching, without an illustrative or cartoon style, preserving natural skin texture. Her expressive eyes are looking upward and to the right, catching a sharp diagonal beam of natural light that illuminates the prominent areas of her cheekbones, nose, fair skin, and glossy lips. The rest of her face and the background are immersed in deep, dramatic shadow (chiaroscuro), emphasizing the interplay of light and shadow. Subtle textures of dark clothing are visible on her left shoulder.",0204.jpg,زنی، در ساحل دریا (سبک سینمایی و کارتونی)
205,,10.07.2026 13:31:21,پرتره / سلفی,"Black and white photo of a man standing by a wall, one hand adjusting his wristwatch, the other tucked into his trouser pocket. The light source creates angular shadows on his chiseled face and suit, emphasizing the tailoring. His ghaze is downward, evoking calm confidence and refined masculinity.",0205.jpg,مردی، ایستاده (سبک سیاه‌وسفید)
206,,10.07.2026 13:34:01,سایر,"Henb3A MeHATb IMo.
CHATO Ha npopecCMOHaNbHyIO KaMepy, kpynHbIM NNaHOM
IMLo, BONOCbI ANMHHIe ynokeHbI O6beMHble nanaoT
npagAMM Ha nMĻo, OHa CMOTPMT C MrpuBbIM B3rnAAoM B
KâMepy. TlOHMKeHHas 9KCn03MUMA. ronOBa HakNOHeHaK
nneyy, Hasan, CMOTpMT epes nineyo. DOH CBeTJnaA
CTeHa. ly4u coNHa YacTVYHO nagaoT Ha rnasa. BonoCbl
yepHble. Tuneppeanm3M
OopMaT 9:16",0206.jpg,یک تصویر هنری
207,,10.07.2026 13:37:01,مد و فشن (ادیتوریال)، پرتره / سلفی,"dynamic moody portrait of a male model wearing old money fashion and
vibe, oversized white t shirt tucked into smart trousers, old money 2025 hair
style, meticulously crafted scenes, backdrop with a 1980s classic porsche in
view, in the background of a studio with a industrial, for a fashion shoot
with inudstiral concrete backdrop elements, soft sculpture,embodying the
ethos of high-end fashion exemplified by brands like, ARNE, Cole Buxton,
Represent. Movie style film grain",0207.jpg,مردی، با پیراهن سفید، در استودیو عکاسی
208,,10.07.2026 13:40:12,پرتره / سلفی,"Фотореалистичное фото 9:16. Крупное селфи девушки, снятое на фронтальную камеру телефона с очень близкого расстояния. Атмосфера приглушённая и камерная, в стиле dark aesthetic. Мягкий тусклый свет освещает лицо, создавая глубокие тени и мягкий контраст. В линзах очков отражаются два ярких блика от экрана телефона. Фото в движении — несколько прядей волос слегка сдвинуты, будто девушка только что поправила голову перед кадром. Качество снимка как у iPhone 5: лёгкая зернистость, цифровой шум, мягкая резкость и немного приглушённые цвета.
Внешность девушки:
длинные густые  волосы ниже пояса, объёмно уложенные, несколько свободных прядей падают на лицо; чёрные стрелки; длинные густые чёрные ресницы; длинные ногти молочного цвета.
Фото:
Голова слегка наклонена в сторону, лицо занимает почти весь кадр. Взгляд направлен прямо в камеру, выражение спокойное и флиртующее .  На лице аккуратный макияж: графические чёрные стрелки и длинные ресницы. Губы покрыты влажным розово-ягодным блеском. На девушке крупные очки в толстой чёрной прямоугольной оправе, на дужке маленькая металлическая декоративная деталь. В ухе маленькая светлая серьга. Одежда чёрная — виден верх рубашки или кардигана с рядом круглых тёмных пуговиц. Фон почти неразличим из-за темноты, создаётся ощущение ночной комнаты и мягкой интимной тени вокруг лица.
Полная детализация кожи ткани реквизита
Не меняй внешность и черты лица‍​‌​​​​​​​‌‌‌​‌​​​‌‌​​​​‌​‌‌‌​‌​​​‌‌​​​​‌​‌​‌‌‌‌‌​‌‌​​​‌​​‌‌‌​‌​‌​‌‌​‌‌​​​‌‌​‌​‌‌​‌‌​​​​‌⁠ формат 9:16.copy my face 100%",0208.jpg,زنی، در حال گرفتن سلفی
209,,10.07.2026 13:43:01,پرتره / سلفی,"Не меняй черты лица вертикальный коллаж-триптих из трех горизонтальных кинематографических фрагментов:
Верхняя панель: только глаза и белый котенок смотрит в камеру которого она прижала к лицу смотрит на негокрупным планом. Часть волос видно Лицо не видно полностью. теплый свет выделяет радужную оболочку и кожу вокруг. Фон не видно
Средняя панель: Загадочный снимок крупным планом, на котором большая часть лица видна на фоне белой шторы, оставляя видимым только часть лица, ногти квадрат френч, она смотрит в камеру
Нижняя часть снимка: Нижняя часть лица крупным планом, боком к камере, с акцентом на ее лицо она целует котенка, рука держит котенка белого. Освещение - высококонтрастная, сдержанная светотень с теплым золотистым сиянием. Атмосфера - интимная на фоне белой шторы и белой шторы, благодаря крупнозернистой пленке и винтажной эстетике.
Волосы везде одинаковые длинные блестящие объемные
Триптих без рамок",0209.jpg,یک تصویر هنری
210,,10.07.2026 13:46:01,پرتره / سلفی,"Нельзя менять лицо.
Реалистичная очень затемненная селфи-фотография на iPhone, вертикальный кадр 9:16, снята без вспышки. Фотография слегка зернистая, немного смазанная, с эффектом motion blur - как будто снята в движении, случайное живое селфи, без идеальной четкости. Два пальца приближены к камере настолько, что закрывают изображение снизу и сверху, оставляя видимой только узкую горизонтальную полосу в центре. В этой центральной части видны глаза девушки. несколько прядей спадают на лицо, видны только брови и глаза. Выражение глаз: томное, дерзкое, с поволокой, веки полуприкрыты, создавая эффект тяжёлого взгляда. Восточные стрелки, растушёванные тени, длинные пушистые ресницы. Брови слегка опущены, но сохраняют изгиб. Взгляд - как у кошечки, томный и дерзкий. Фотография очень затемнённая, глубокие чёрные тени, лёгкая зернистость, без ретуши, естественная текстура кожи. Формат 9:16.
چهره تغییر نده",0210.jpg,زنی، در حال گرفتن سلفی
211,,10.07.2026 14:00:32,پرتره / سلفی,"A high-contrast, black and white cinematic close-up
portrait of a young man with a beard, sitting in a pitch-
a
black room. He is captured from the chest up leaning
forward with his arms crossed, one hand resting on his
forearm showing a luxury wristwatch. The scene is
lluminated solely by sharp, dramatic light passing
through window blinds, casting a rhythmic pattern of
horizontal light and dark ""slat"" shadows across his face
and body. The man is looking off-camera with a subtle
thoughtful smile. The background is pure, deep shadow
with no visible details. Sharp focus on the eyes and
facial textures, film noir aesthetic, 8k resolution
moody atmosphere. ar 4:5",0211.jpg,مردی، نشسته (سبک سینمایی و سیاه‌وسفید)
212,,10.07.2026 14:00:32,پرتره / سلفی,"A high-contrast, black and white cinematic close-up
portrait of a young man with a beard, sitting in a pitch-
a
black room. He is captured from the chest up leaning
forward with his arms crossed, one hand resting on his
forearm showing a luxury wristwatch. The scene is
lluminated solely by sharp, dramatic light passing
through window blinds, casting a rhythmic pattern of
horizontal light and dark ""slat"" shadows across his face
and body. The man is looking off-camera with a subtle
thoughtful smile. The background is pure, deep shadow
with no visible details. Sharp focus on the eyes and
facial textures, film noir aesthetic, 8k resolution
moody atmosphere. ar 4:5",0212.jpg,مردی، نشسته (سبک سینمایی و سیاه‌وسفید)
213,,10.07.2026 14:06:01,پرتره / سلفی,"Keeptheface100%identicaltothereference.Nochangestoidentity,facialshape,eyes,nose,lips,onlylightingandposechangezerofacialchange.Athreepanelverticalcollageofawomanoutdoorsduringgoldenhour,cinematicphotorealisticwarmtones,realisticskintextureporesnaturalimperfections,noretouching,shallowdepthoffieldsoftbokeh.Panel1topcloseleftprofileeyesopendarkberrymattelipstickslightlypartedlipsgoldenbacklighthairblurredgreenyellowfieldbackground.Panel2middleextremecloseupmacrorighteyelookingupwarddetailedirislongseparatedlashesblackmascaravisiblenosebridgeskintextureeyewrinklesdutchanglecamera.Panel3bottomsideprofilelyingingreengrassheadtiltedupwardhairspreadamongdandelionssunlightdefinednosejawlinedarkredlipsvisiblecheekskintexturewhiteclothingedgeframe.Ultrarealisticcinematichighdetailnaturalgoldenhourlightinsize 9:16.",0213.jpg,یک تصویر هنری (سبک فوق واقع‌گرایانه)
214,,10.07.2026 14:10:01,پرتره / سلفی,"Создай портрет, не меняя черты лица. Реалистичное мужское портретное фото. Молодой мужчина спортивного телосложения. На нем надета белая льняная свободная рубашка.  На левой руке стильные часы с белым циферблатом и черным ремешком. Мужчина стоит в помещении у светлой двери, мягкое естественное освещение, нейтральный фон. Высокая детализация кожи, текстуры ткани и циферблата часов. Снято на 85mm объектив, профессиональный студийный свет.",0214.jpg,مردی
215,,10.07.2026 14:17:02,مد و فشن (ادیتوریال)، محصول / لایف‌استایل، پرتره / سلفی,"Ultra-realistic monochrome portrait of a young man wearing black wayfarer sunglasses, messy dark hair, well groomed beard beard, and a thin silver chain necklace with a small round pendant. Dressed in an oversized black t-shirt with a minimal white chest logo. Subject standing indoors, head slightly tilted downward and turned 15 degrees to the side, relaxed confident expression. Moody editorial fashion photography, luxury streetwear campaign Soft natural window light coming from camera-right, creating gentle highlights on the face and subtle shadow falloff across the body. Shallow depth of field with creamy background blur. Dark gray minimalist interior background with soft gradients and no distractions. High contrast black-and-white grading with deep blacks, rich midtones, and cinematic shadows.Shot on a full-frame camera with an 85mm telephoto lens, f/1.8 aperture, ISO 200, professional portrait composition, chest-up framing, subject centered slightly left. Fine skin texture, realistic fabric details, premium magazine-quality retouching, subtle film grain, Leica photography style, luxury fashion editorial, Vogue Men aesthetic, cinematic mood, ultra sharp focus on face, photorealistic, 8K. 9:16",0215.jpg,مردی، با تی‌شرت مشکی، ایستاده (سبک سینمایی و ادیتوریال)
216,,10.07.2026 14:22:44,پرتره / سلفی,"Edit the uploaded image for an Instagram Stories-style post by adding chalk-like handwritten text and simple doodles.
Keep the original image completely unchanged (subject, face, pose, outfit, lighting, background, composition). Only add decorative overlays.
Add 2–5 short, context-aware captions based on what is visible in the photo (mood, expression, outfit, setting). Make the text personal, cute, funny, and natural—not generic.
Style: minimal Gen Z chalk aesthetic with soft white/pastel tones (white, cream, pink, baby blue, light yellow) and a slightly grainy chalk texture. Add small hearts, stars, sparkles, arrows, circles, underlines, and wavy lines.
Placement: put text and doodles in empty spaces around the subject. Do not cover the face or important details. Keep it balanced and readable, not crowded.
Format: vertical 4:5 Instagram composition within safe margins.
Important: no new objects or redesigns—only subtle chalk-style annotations that feel naturally integrated.",0216.jpg,یک تصویر هنری، در یک ژست خاص (سبک مینیمال)
217,,10.07.2026 14:27:08,دریا / ساحل، مد و فشن (ادیتوریال)، پرتره / سلفی,"Create an ultra-realistic  using the reference image as the identity source.
Preserve the exact facial features, bone structure, proportions, skin tone, and identity of the subject.
Do not beautify, reshape, or alter the face in any way. Maintain natural likeness and authentic facial geometry.  Subject: A young woman with an hourglass silhouette, capturing her precise facial structure and features with absolute fidelity. No nose piercings.
Pose: Over-the-shoulder gaze. The subject is turned away from the camera, showing her bare upper back and the elegant curve of her right shoulder, with her head tilted downward and turned back toward the lens at a soft angle.
Wardrobe & Styling
Attire: Minimalist, elegant resort wear featuring a thin, delicate spaghetti strap resting over her right shoulder.
Hair: A textured, wavy chin-length bob with effortless, messy volume and soft layers. A large, prominent, light-colored tropical hibiscus flower is tucked securely behind her left ear, its petals sprawling delicately over her hair.
Makeup: Classic, clean high-fashion editorial makeup. Defined, naturally full and arched eyebrows; soft, satin-finish lipstick; subtle, glowing highlighter on the cheekbones and tip of the nose; and a gentle dusting of eyeshadow over downcast, closed or nearly-closed eyes.
Setting & Environment
Background: An outdoor, sun-drenched tropical or coastal setting. The background is entirely soft-focused with a creamy, cinematic bokeh, hinting at distant foliage and open-air elements without distracting from the subject.
Lighting & Color Grading
Aesthetic: Monochromatic, high-contrast fine art black and white photography.
Lighting: Direct, warm natural sunlight striking from the side, casting a soft shadow across the left side of her face while brightly illuminating her right cheek, shoulder, and the delicate texture of the flower petals. High-end cinematic realism with glowing skin highlights and deep, rich contrast.
Camera Details & Optics
Gear: Shot on a Phase One XF IQ4 150MP with a Schneider Kreuznach 80mm f/2.8 lens.
Settings: Close-up portrait angle, f/2.8 aperture for a shallow depth of field, ISO 50 for zero grain, crisp 1/1000s shutter speed to capture razor-sharp details.
Texture & Realism Boosters
Ultra-HD, 32K resolution, hyper-realistic skin texture showing fine pores, natural skin sheen, and microscopic hair strands. Detailed fabric texture on the strap and organic, tactile petal textures on the large flower. Perfect anatomical accuracy.
.NEGATIVE PROMPT
low quality, blurry, flat lighting, dull colors, bad anatomy, extra limbs, distorted face, stiff pose, cartoon, anime, CGI, plastic skin, cheap costume, repetitive outfit, watermark, logo, text
Use my upload image face without any changes",0217.jpg,زنی، در یک ژست خاص (سبک سینمایی و ادیتوریال)
218,,10.07.2026 14:30:22,پرتره / سلفی,"Нельзя менять лицо. Вертикальный кадр 9:16, нижний ракурс, снято сильно снизу вверх на iPhone 16 Pro Max. Девушка в молочном воздушном мини-платье стоит спиной, оборачивается через плечо и смотрит в камеру с лёгкой улыбкой. Одна рука тянется к объективу (лёгкий motion blur). Очень длинные волнистые волосы до пояса развеваются ветром. Натуральный макияж: glass skin, длинные ресницы, выраженные скулы, матовые губы. На фоне ярко-синее небо с крупными белыми облаками. Жёсткий дневной солнечный свет, контрастные тени, видимые поры кожи, лёгкие пылинки в воздухе, небольшой lens flare, яркие насыщенные цвета, гиперреализм.",0218.jpg,زنی
219,,10.07.2026 14:35:24,پرتره / سلفی,"4:53 H0
Generate images: A professional studio
fashion portrait photograph of a young
woman with dramatic Rembrandt
lighting against a deep black background
The woman wears a black turtleneck
sweater and her head is turned in profile,
her face angled slightly toward the
camera with a confident expression
Strong directional lighting creates a
sharp triangle of light under her left eye
and illuminates the left side of her face
while the right side remains in
shadow.Her blonde hair is styled neatly
and falls just below her shoulders. The
image has the polished, editorial quality
of a high-fashion magazine spread.9:16.in
9:16 aspect ratio.",0219.jpg,زنی، با سوییشرت مشکی و موهای بلوند، در استودیو عکاسی (سبک ادیتوریال)
220,,10.07.2026 14:35:24,پرتره / سلفی,"4:53 H0
Generate images: A professional studio
fashion portrait photograph of a young
woman with dramatic Rembrandt
lighting against a deep black background
The woman wears a black turtleneck
sweater and her head is turned in profile,
her face angled slightly toward the
camera with a confident expression
Strong directional lighting creates a
sharp triangle of light under her left eye
and illuminates the left side of her face
while the right side remains in
shadow.Her blonde hair is styled neatly
and falls just below her shoulders. The
image has the polished, editorial quality
of a high-fashion magazine spread.9:16.in
9:16 aspect ratio.",0220.jpg,زنی، با سوییشرت مشکی و موهای بلوند، در استودیو عکاسی (سبک ادیتوریال)
221,,10.07.2026 14:39:20,پرتره / سلفی,"Ultra-realistic Gen Z selfie photo collage, three vertical smartphone flash selfies of a young woman with long wavy black hair, soft dewy glass skin, rosy blush, glossy peach lips, natural makeup, wearing a faded blue-gray sleeveless Nirvana tank top, silver chain necklace, black nail polish with nail art, posing with hand under chin, playful wink with tongue out, and warm smiling expression. Direct front-facing flash photography, clean light gray wall background, high contrast shadows, candid Instagram aesthetic, sharp facial details, shallow depth of field, Y2K vibe, soft skin texture, photorealistic, 35mm lens, high resolution.",0221.jpg,زنی، با موهای مشکی، با لبخند (سبک فوق واقع‌گرایانه)
222,,10.07.2026 14:39:20,پرتره / سلفی,"Ultra-realistic Gen Z selfie photo collage, three vertical smartphone flash selfies of a young woman with long wavy black hair, soft dewy glass skin, rosy blush, glossy peach lips, natural makeup, wearing a faded blue-gray sleeveless Nirvana tank top, silver chain necklace, black nail polish with nail art, posing with hand under chin, playful wink with tongue out, and warm smiling expression. Direct front-facing flash photography, clean light gray wall background, high contrast shadows, candid Instagram aesthetic, sharp facial details, shallow depth of field, Y2K vibe, soft skin texture, photorealistic, 35mm lens, high resolution.",0222.jpg,زنی، با موهای مشکی، با لبخند (سبک فوق واقع‌گرایانه)
223,,10.07.2026 14:44:00,پرتره / سلفی,"A dramatic close-up portrait photograph of the woman seen in the referenced image, maintaining her dark, voluminous, wavy hair and intense gaze looking off-camera to the side. She is dressed in the same black ribbed top. The defining characteristic is the sharp, directional light casting precise, intricate leaf-patterned shadows across one side of her face and hair, creating a high-contrast interplay of light and dark. The background remains a dark, moody charcoal grey, keeping the focus entirely on her expression and the dappled light effect. The image has a high-quality, cinematic texture with fine detail in her skin and hair.",0223.jpg,زنی، با موهای موج‌دار، با نگاهی به دوردست (سبک سینمایی)
224,,10.07.2026 14:49:01,پرتره / سلفی,"Strict Composition & Absurdist Claymation Transfer: A
nigh-detail 3D reimagining that preserves the EXACT
spatial layout, object positioning, and structural
composition of the provided reference image. Do not
nove or remove elements; transform them into
grotesque, humorous clay world. Style: Extreme
Aardman-inspired caricature with an absurdist twist.
Subjects feature wildly uneven proportions: noodle-
like rubbery limbs, bulging ""ping-pong bal"" eyes
looking in slightly different directions, and massive
toothy grins with oversized ""chiclet"" teeth and visible
pink gums. Every character must look hilariously
startled or over-enthusiastic. Texture & Messy
Aesthetic: Everything is rendered as heavy, matte
plasticine. Introduce ""wonky"" geometry-no straight
lines or perfect edges; every surface has a hand-
sculpted ""jitter"" and lopsided feel. The clay shows
extreme
tactile
imperfections:
deep
mess)
thumbprints, accidental fingernail scratches, rough
seams, and tiny bits of dust or lint stuck to the
surface.",0224.jpg,یک تصویر هنری (سبک کارتونی)
225,,10.07.2026 14:49:01,پرتره / سلفی,"Strict Composition & Absurdist Claymation Transfer: A
nigh-detail 3D reimagining that preserves the EXACT
spatial layout, object positioning, and structural
composition of the provided reference image. Do not
nove or remove elements; transform them into
grotesque, humorous clay world. Style: Extreme
Aardman-inspired caricature with an absurdist twist.
Subjects feature wildly uneven proportions: noodle-
like rubbery limbs, bulging ""ping-pong bal"" eyes
looking in slightly different directions, and massive
toothy grins with oversized ""chiclet"" teeth and visible
pink gums. Every character must look hilariously
startled or over-enthusiastic. Texture & Messy
Aesthetic: Everything is rendered as heavy, matte
plasticine. Introduce ""wonky"" geometry-no straight
lines or perfect edges; every surface has a hand-
sculpted ""jitter"" and lopsided feel. The clay shows
extreme
tactile
imperfections:
deep
mess)
thumbprints, accidental fingernail scratches, rough
seams, and tiny bits of dust or lint stuck to the
surface.",0225.jpg,یک تصویر هنری (سبک کارتونی)
226,,10.07.2026 14:51:57,منظره / طبیعت، پرتره / سلفی,"Keeptheface100%identicaltothereference.Nochangestoidentity,facialshape,eyes,nose,lips,onlychangelightingandposeWithzeropercentchangeinthefacesofthereferencesultrarealisticphotorealisticmediumshotofawomanwithwavyhair,eyesshut,softsmilewithoutteeth,darkmatteredlips,peachypinkblush,andfullyvisiblehighlydetailednaturalskintexturewithrealpores.Directsunlightcreatesoftshadows.Sheisstandinginthreequarterpose,headtiltedslightlyright,lefthandraisedabovetheheadwithelbowbent,fingersrelaxedandhalfopen,naturalshortunpaintednails.Righthandoutofframe.Fittedblackribbedcrewnecktopwithaloosewashedblueoversizeddenimjacket.Greenfieldwithscatteredyellowflowersandsoftblurredbluemountainsinthebackgroundunderaclearbluesky.Softwarmdaylight,eyelevelwaistupportrait,sharpfocusonfaceandclothing,subtleshallowdepthoffield,ultrarealisticfabric,hair,andskintextures,noartificialfilters.",0226.jpg,یک تصویر هنری (سبک فوق واقع‌گرایانه)
227,,10.07.2026 14:55:45,مد و فشن (ادیتوریال)، پرتره / سلفی,"Use the attached image of the model as facial reference and physical features. Black and white high-fashion editorial portrait of uploaded person, wearing a loose white blouse. She poses with one arm raised, partially covering her face while holding her hair up, creating a dramatic and artistic composition. Her gaze is intense and captivating, directed toward the camera, exuding a strong, enigmatic aura. Background: minimalist plain wall with sharp natural daylight casting defined shadows, adding depth and contrast. Lighting: harsh natural sunlight, high-contrast setup highlighting facial contours, sharp cheekbones, and texture of the hair and fabric. Pose: bold and expressive, arm lifted framing the face, emphasizing raw emotion and editorial style. Camera: eye-level angle, close-up framing focusing on facial expression, texture, and dramatic shadow play. Captured with a Canon EOS R5 full-frame DSLR, 85mm f/1.8 lens for crisp detail, tonal depth, and fine grain. Style: high-fashion editorial in monochrome.ultra detailed individual hair strands, realistic hair fiber texture, soft natural volume, subtle baby hairs, natural hairline, realistic shine without plastic effect, soft wind movement
برای پوست طبیعی و غیر AI:
visible natural skin pores, realistic skin microtexture, soft skin imperfections, natural under-eye texture, healthy skin glow, balanced skin tones, no waxy skin, no over-retouching",0227.jpg,زنی، در یک ژست خاص (سبک ادیتوریال و سیاه‌وسفید)
